avgGas,timestamp,samples,open,close,high,low
86512.37929833336,2024-12-10 04:19:23.629000+00:00,60,13.7278,19.9863,20.8584,13.0
82911.44744,2024-12-10 03:19:19.325000+00:00,60,20.933,34.7548,38.2957,17.8815
83612.07542000002,2024-12-10 02:19:14.457000+00:00,60,33.8032,19.1507,37.6372,16.0688
74961.26599999999,2024-12-10 01:19:11.461000+00:00,60,17.9716,18.9127,21.9012,14.7148
78245.62190499999,2024-12-10 00:19:08.392000+00:00,60,17.6426,28.0,30.4882,16.0809
76917.38202999998,2024-12-09 23:19:05.670000+00:00,60,29.2824,38.3072,38.3261,21.7588
78941.55152166665,2024-12-09 22:19:02.146000+00:00,60,37.7853,47.0,82.5556,31.7554
75726.61527457628,2024-12-09 21:19:58.603000+00:00,59,52.0,138.002,154.0717,48.0
90080.21744833334,2024-12-09 20:19:55.033000+00:00,60,155.0138,23.5673,228.6228,23.5673
79901.62207833334,2024-12-09 19:19:51.223000+00:00,60,28.8529,22.2404,33.494,21.0
74801.80323833335,2024-12-09 18:19:47.803000+00:00,60,25.1908,33.2272,37.6826,22.0
74059.10771833333,2024-12-09 17:19:43.998000+00:00,60,34.2989,29.9652,225.0888,27.4839
72038.05739333334,2024-12-09 16:19:39.577000+00:00,60,34.0972,31.9656,44.7052,31.9656
75447.10931166665,2024-12-09 15:19:34.527000+00:00,60,35.008,41.3091,46.9135,31.1154
75642.12753333335,2024-12-09 14:19:28.683000+00:00,60,39.5324,38.0203,45.0,30.2195
72898.42431333335,2024-12-09 13:19:24.831000+00:00,60,39.6853,42.7558,46.7216,33.0827
71660.64597833333,2024-12-09 12:19:20.206000+00:00,60,40.0,33.9329,57.3678,33.9329
80604.70577166666,2024-12-09 11:19:16.734000+00:00,60,36.6742,10.7656,43.5448,9.1322
84246.34207833336,2024-12-09 10:19:13.583000+00:00,60,10.0,12.2988,12.7603,8.8428
81440.09684000001,2024-12-09 09:19:10.585000+00:00,60,12.6,9.5336,14.9655,8.918
86596.49515500003,2024-12-09 08:19:07.542000+00:00,60,11.0,9.064,14.3793,7.9077
92062.99872333332,2024-12-09 07:19:04.397000+00:00,60,9.2916,11.0,12.5083,8.0
102027.16206000003,2024-12-09 06:19:00.584000+00:00,60,10.9655,10.0,12.1563,8.502
106394.64645762712,2024-12-09 05:19:57.697000+00:00,59,9.9888,10.7386,11.5605,8.4017
99095.79319333332,2024-12-09 04:19:53.986000+00:00,60,10.2791,11.2177,13.1532,8.0
93432.14182,2024-12-09 03:19:51.376000+00:00,60,10.6358,9.9371,13.871,8.0
93085.83891666665,2024-12-09 02:19:48.532000+00:00,60,9.6629,10.6841,13.4267,8.6838
86439.00356833334,2024-12-09 01:19:44.188000+00:00,60,12.3035,15.1869,16.208,10.6104
85478.43523,2024-12-09 00:19:41.109000+00:00,60,15.4081,22.7058,31.0774,13.5212
92645.969785,2024-12-08 23:19:35.219000+00:00,60,23.0,12.2028,24.0491,7.9267
89845.48346500004,2024-12-08 22:19:28.641000+00:00,60,13.6731,10.7943,30.0,8.9086
87379.75420333334,2024-12-08 21:19:22.513000+00:00,60,10.3385,11.6814,16.1643,8.6815
86086.79456333334,2024-12-08 20:19:17.650000+00:00,60,9.903,12.33,13.9303,9.0
86526.57411833334,2024-12-08 19:19:13.232000+00:00,60,13.6475,13.8469,16.9645,10.3777
